iter	MAPE	RMSE	R2	MAE
0	0.05145864939	0.9731758473	0.2373878239	0.7492382045
1	0.04484761583	0.8498254251	0.4184587418	0.6528576309
2	0.03912361935	0.7430472669	0.555415852	0.5694050911
3	0.03414010541	0.6499698359	0.6598210035	0.4967193389
4	0.02980578277	0.569355809	0.7389710939	0.4335051276
5	0.02603856843	0.4991323014	0.799390062	0.3785863124
6	0.0227714072	0.4384944556	0.8451720712	0.330933083
7	0.01992792168	0.3860380449	0.8799999834	0.2894756434
8	0.0174766997	0.3405410448	0.9066186777	0.2537351077
9	0.01535179377	0.3014400123	0.9268317128	0.2227474277
10	0.01352428476	0.2678710137	0.9422206657	0.1960651303
11	0.01195932113	0.2392735514	0.9538989855	0.1732026157
12	0.0106023536	0.2149243744	0.9628043259	0.1533733959
13	0.0094323266	0.194460428	0.9695502616	0.1362574635
14	0.008433286079	0.1772290232	0.9747075571	0.1216152643
15	0.007582478112	0.162845359	0.9786463626	0.10912863
16	0.006869699814	0.1509788168	0.9816450534	0.0986540936
17	0.006250846623	0.1412454308	0.9839354004	0.08954016663
18	0.005733506801	0.1334378729	0.9856623058	0.08190387146
19	0.005291777006	0.1271303154	0.9869857441	0.07536466146
20	0.004921562187	0.1221496068	0.9879855128	0.06987351505
21	0.004604939953	0.118144396	0.9887604909	0.0651671227
22	0.004337321706	0.1150171399	0.9893476306	0.06117687931
23	0.004115809338	0.1125948712	0.9897915852	0.05786274946
24	0.003935946734	0.1107151329	0.990129593	0.05515632094
25	0.003778503754	0.1092336577	0.9903919768	0.05279150359
26	0.003649812628	0.1081119268	0.990588295	0.05084693297
27	0.003538002777	0.1071908499	0.9907479809	0.04915143226
28	0.003453389556	0.1064691763	0.9908721419	0.04786185907
29	0.003377093532	0.105900149	0.9909694493	0.04669378383
30	0.003308300519	0.1054319805	0.9910491182	0.04564106629
31	0.003257192445	0.1050663233	0.9911110971	0.04486078232
32	0.003212030635	0.1047879329	0.9911581399	0.0441799783
33	0.003170182033	0.1045566139	0.9911971336	0.0435467535
34	0.003142153677	0.1043508621	0.9912317449	0.04311928584
35	0.003115289303	0.1041730104	0.991261608	0.04270425278
36	0.00309007495	0.1040256841	0.991286307	0.04231931885
37	0.00307285771	0.1039186285	0.9913042328	0.04206230706
38	0.003064808697	0.1038099405	0.991322413	0.04194339698
39	0.003054263133	0.1037003301	0.9913407282	0.04179051438
40	0.003044946135	0.1036239446	0.9913534804	0.04166040891
41	0.003031263919	0.1035296472	0.9913692098	0.04144415888
42	0.003020662607	0.1034477687	0.9913828561	0.04128637669
43	0.003017270992	0.1033762764	0.9913947625	0.04124561958
44	0.003011736261	0.1033019181	0.9914071375	0.0411686225
45	0.003007546836	0.1032464359	0.9914163653	0.04110512455
46	0.003005675865	0.1031910322	0.991425575	0.04108340898
47	0.003001374006	0.103133438	0.9914351437	0.04102107818
48	0.003001209398	0.1030802165	0.9914439811	0.04102051751
49	0.002992313406	0.1030281935	0.9914526151	0.04089065724
50	0.002982614354	0.1029732865	0.991461723	0.04073437747
51	0.002972432738	0.1029344946	0.9914681549	0.04056806964
52	0.002968379108	0.1028767478	0.991477725	0.04050705064
53	0.002965506688	0.1028330044	0.9914849708	0.04046640076
54	0.002958463358	0.1027863442	0.9914926964	0.040360266
55	0.0029558276	0.1027446577	0.9914995955	0.04032083653
