iter	Passed	Remaining
0	159	795675
1	306	765247
2	455	759357
3	609	761476
4	759	758816
5	911	758804
6	1064	759165
7	1217	759756
8	1373	761495
9	1520	758576
10	1673	758941
11	1828	760041
12	1986	762196
13	2140	762320
14	2293	762271
15	2450	763269
16	2596	760985
17	2746	760073
18	2896	759266
19	3058	761571
20	3208	760605
21	3353	758747
22	3508	759270
23	3656	758139
24	3800	756374
25	3950	755690
26	4102	755703
27	4252	755051
28	4406	755279
29	4559	755290
30	4709	754950
31	4855	753792
32	5006	753481
33	5157	753232
34	5310	753269
35	5460	753008
36	5611	752683
37	5769	753327
38	5914	752308
39	6065	752145
40	6216	751861
41	6366	751568
42	6518	751429
43	6669	751243
44	6823	751309
45	6972	750887
46	7132	751596
47	7282	751332
48	7435	751280
49	7586	751096
50	7741	751237
51	7895	751299
52	8057	752055
53	8205	751522
54	8355	751210
55	8508	751206
56	8662	751242
57	8817	751299
58	8970	751225
59	9126	751385
60	9272	750808
61	9422	750457
62	9575	750351
63	9725	750093
64	9873	749660
65	10025	749472
66	10180	749586
67	10330	749231
68	10479	748933
69	10630	748683
70	10781	748459
71	10925	747814
72	11083	748092
73	11235	747907
74	11389	747930
75	11537	747485
76	11685	747106
77	11837	746993
78	11987	746688
79	12142	746771
80	12296	746722
81	12447	746554
82	12598	746325
83	12746	745970
84	12896	745704
85	13046	745481
86	13199	745378
87	13283	741442
88	13438	741510
89	13589	741390
90	13734	740899
91	13882	740603
92	14031	740369
93	14179	740074
94	14329	739878
95	14478	739635
96	14501	733006
97	14655	733070
98	14801	732736
99	14947	732434
100	15109	732880
101	15257	732678
102	15406	732463
103	15568	732907
104	15725	733128
105	15909	734521
106	16065	734658
107	16215	734523
108	16369	734542
109	16521	734472
110	16672	734344
111	16823	734239
112	16972	734022
113	17124	733956
114	17274	733793
115	17426	733699
116	17581	733780
117	17734	733728
118	17884	733552
119	18038	733545
120	18192	733555
121	18338	733253
122	18489	733133
123	18638	732907
124	18791	732867
125	18944	732821
126	18998	728958
127	19160	729283
128	19320	729535
129	19482	729851
130	19637	729892
131	19791	729879
132	19943	729811
133	20097	729812
134	20250	729752
135	20409	729929
136	20558	729766
137	20710	729661
138	20863	729616
139	21014	729508
140	21167	729439
141	21319	729371
142	21469	729215
143	21616	728963
144	21766	728807
145	21917	728678
146	22068	728558
147	22222	728542
148	22375	728493
149	22530	728495
150	22683	728425
151	22827	728076
152	22976	727902
153	23135	728028
154	23288	727945
155	23436	727736
156	23587	727595
157	23744	727653
158	23889	727348
159	24043	727308
160	24198	727317
161	24351	727247
162	24504	727169
163	24659	727145
164	24820	727325
165	24969	727125
166	25116	726866
167	25268	726779
168	25421	726690
169	25574	726605
170	25731	726637
171	25884	726560
172	26041	726604
173	26191	726436
174	26338	726203
175	26489	726042
176	26641	725938
177	26796	725921
178	26948	725813
179	27113	726039
180	27271	726086
181	27421	725906
182	27574	725827
183	27731	725833
184	27883	725733
185	28037	725651
186	28198	725769
187	28350	725645
188	28498	725432
189	28654	725399
190	28808	725350
191	28963	725296
192	29117	725217
193	29273	725195
194	29428	725138
195	29577	724950
196	29731	724884
197	29754	721618
198	29907	721533
199	30059	721421
200	30210	721292
201	30364	721239
202	30517	721146
203	30667	720992
204	30832	721168
205	30989	721182
206	31158	721461
207	31366	722629
208	31583	724005
209	31753	724293
210	31909	724249
211	32059	724055
212	32248	724761
213	32406	724763
214	32607	725697
215	32778	725978
216	32962	726547
217	33157	727330
218	33389	728917
219	33607	730193
220	34044	736200
221	34318	738611
222	34497	738988
223	34653	738855
224	34826	739088
225	35099	741433
226	35332	742906
227	35589	744892
228	35746	744749
229	35936	745293
230	36173	746792
231	36386	747809
232	36654	749920
233	36890	751377
234	37085	751976
235	37289	752747
236	37461	752865
237	37611	752544
238	37762	752245
239	37917	752027
240	38070	751767
241	38226	751567
242	38380	751333
243	38534	751107
244	38684	750799
245	38896	751688
246	39046	751363
247	39259	752257
248	39410	751974
249	39582	752063
250	39738	751868
251	39894	751659
252	40046	751387
253	40200	751147
254	40353	750884
255	40506	750630
256	40695	751048
257	40872	751232
258	41023	750937
259	41177	750690
260	41332	750473
261	41482	750174
262	41634	749890
263	41783	749574
264	41935	749309
265	42083	748952
266	42234	748667
267	42383	748355
268	42536	748096
269	42690	747868
270	42843	747630
271	43002	747485
272	43150	747144
273	43314	747092
274	43469	746880
275	43621	746617
276	43780	746483
277	43937	746312
278	44103	746273
279	44256	746035
280	44292	743833
281	44443	743560
282	44599	743369
283	44752	743144
284	44908	742957
285	45061	742730
286	45221	742612
287	45371	742320
288	45521	742054
289	45682	741943
290	45830	741638
291	45982	741384
292	46135	741166
293	46308	741247
294	46464	741064
295	46615	740800
296	46774	740670
297	46930	740492
298	47085	740290
299	47254	740319
300	47414	740201
301	47581	740193
302	47732	739936
303	47883	739679
304	48038	739470
305	48192	739270
306	48347	739065
307	48499	738826
308	48655	738645
309	48803	738352
310	48952	738058
311	49105	737836
312	49260	737647
